NAME_E,id,pctlVolume_SF,pctlVolume_mission,pctlVolume_agg,pctlVolume_MF,pctlVolume_NonRes,pctlVolume_SB,pctlVolume_federal,pctlrace_agg,pctlrace_SF,pctlrace_MF,pctlrace_SB,pctlrace_federal,pctlrace_mission,pctlrace_NonRes,pctlpov_agg,pctlpov_SF,pctlpov_federal,pctlpov_mission,pctlpov_NonRes,pctlpov_SB,pctlpov_MF
Illinois,17,56,46,64,40,92,48,68,86,70,72,90,28,78,20,50,52,86,36,86,14,50
Alabama,01,18,18,14,38,10,92,18,84,76,90,48,80,84,90,32,20,14,28,6,26,18
Alaska,02,78,10,76,6,66,98,50,62,18,48,80,62,76,4,4,2,30,34,2,18,16
Arizona,04,80,6,78,82,98,84,8,28,36,68,46,92,80,10,18,16,20,20,68,36,56
Arkansas,05,8,8,8,42,12,88,96,60,58,38,12,2,52,42,86,64,96,58,42,86,42
California,06,98,70,98,100,78,38,76,32,52,52,88,54,66,60,8,14,80,72,96,32,94
Colorado,08,92,90,96,94,64,82,86,6,22,40,34,26,54,14,26,48,90,66,84,74,90
Connecticut,09,72,56,72,60,20,10,10,12,54,54,58,68,28,84,2,6,36,88,30,2,72
Delaware,10,58,22,68,74,50,66,34,30,72,36,64,56,70,34,92,86,68,32,90,96,96
District of Columbia,11,100,96,100,90,88,2,100,2,2,52,28,4,6,76,10,4,100,98,8,6,12
Florida,12,70,34,70,8,80,34,16,90,56,82,94,86,88,46,56,50,50,24,94,66,54
Georgia,13,62,86,60,68,70,96,28,44,50,60,32,84,96,54,48,32,48,16,82,62,58
Hawaii,15,96,52,88,2,90,24,58,78,30,92,98,36,62,44,98,100,78,46,98,98,44
Idaho,16,68,14,66,34,48,78,92,22,26,46,10,10,36,18,88,88,94,70,78,90,70
Indiana,18,26,58,34,48,74,60,6,80,92,70,44,94,42,62,38,28,18,68,38,16,30
Iowa,19,14,54,30,56,72,8,56,46,42,16,50,42,12,80,96,84,62,64,44,86,80
Kansas,20,40,12,28,66,30,16,14,34,68,42,52,98,60,58,16,16,12,58,2,20,66
Kentucky,21,6,68,6,16,18,42,20,56,38,24,52,78,50,38,54,44,38,26,32,56,24
Louisiana,22,20,66,26,32,52,62,94,96,90,86,82,74,58,82,58,40,46,72,56,30,26
Maine,23,12,78,12,18,8,74,32,4,2,2,4,16,2,26,90,92,72,92,44,94,46
Maryland,24,84,32,86,72,84,28,52,54,48,84,78,96,92,74,2,2,42,42,48,12,72
Massachusetts,25,82,72,80,84,96,2,72,38,40,28,72,52,18,50,22,68,74,90,72,24,76
Michigan,26,10,84,24,4,86,68,70,70,94,98,70,60,48,48,34,26,30,50,58,16,14
Minnesota,27,54,50,58,52,22,52,66,76,20,14,20,8,34,24,84,94,84,52,60,60,86
Mississippi,28,4,60,4,24,6,90,90,94,98,94,66,30,46,94,58,46,16,74,10,42,22
Missouri,29,32,64,38,64,68,56,78,64,52,26,54,20,40,6,64,58,70,76,66,80,58
Montana,30,42,100,46,14,28,26,98,82,34,32,60,2,16,30,94,82,98,80,64,78,34
Nebraska,31,34,26,32,28,38,32,22,50,66,30,42,72,56,22,40,34,26,22,34,38,68
Nevada,32,94,92,94,50,100,64,24,14,28,62,76,90,74,2,16,10,24,44,100,68,84
New Hampshire,33,52,44,56,30,44,20,36,72,16,4,2,32,4,8,24,54,58,94,88,28,92
New Jersey,34,76,74,82,92,94,46,26,52,86,56,68,88,52,72,12,42,56,86,86,2,98
New Mexico,35,36,52,20,20,32,18,88,88,78,96,96,22,98,68,46,38,32,12,46,58,20
New York,36,64,76,54,70,24,4,60,98,82,80,92,58,68,52,42,44,66,44,92,34,52
North Carolina,37,52,16,52,54,56,94,38,52,60,64,26,44,94,52,62,56,60,14,76,92,44
North Dakota,38,44,2,42,76,14,44,42,10,6,2,6,14,38,36,100,96,72,62,58,100,60
Ohio,39,22,48,16,22,60,36,44,42,84,66,24,66,32,92,36,30,40,78,4,8,16
Oklahoma,40,24,98,18,52,42,58,52,26,88,78,56,34,90,66,52,22,54,16,54,40,40
Oregon,41,74,38,74,96,62,22,80,20,8,6,40,24,26,32,82,86,88,84,72,88,100
Pennsylvania,42,38,30,36,88,34,50,30,66,80,44,30,48,44,78,30,30,44,56,36,10,48
Rhode Island,44,60,80,52,58,16,14,54,48,96,34,22,40,8,86,28,90,52,96,12,4,78
South Carolina,45,50,82,50,12,46,86,64,40,62,76,38,46,64,56,44,36,34,40,62,70,30
South Dakota,46,28,28,22,44,2,100,12,74,32,12,18,82,14,96,80,70,28,48,16,82,28
Tennessee,47,46,42,44,46,40,80,48,68,46,50,74,52,72,70,44,24,76,38,50,58,36
Texas,48,66,20,62,62,76,70,46,36,64,88,62,64,82,64,14,8,44,30,30,22,32
Utah,49,88,24,90,86,58,72,74,24,12,20,8,18,30,2,30,60,64,60,52,72,82
Vermont,50,16,88,10,26,2,12,62,18,14,18,86,6,2,96,66,98,82,100,16,72,86
Virginia,51,86,4,84,80,54,40,40,2,4,74,84,70,86,28,6,12,58,18,40,64,62
Washington,53,90,94,92,98,82,54,84,16,10,10,36,50,22,16,20,18,86,86,70,84,88
West Virginia,54,2,40,2,36,4,30,4,8,24,8,2,38,10,88,78,66,16,54,14,76,38
Wisconsin,55,30,62,40,78,36,76,82,92,74,22,16,12,20,12,68,62,92,82,80,30,74
Wyoming,56,48,36,48,10,26,6,2,100,44,58,14,76,24,40,60,58,22,30,74,54,64
